Date;Return_SP_500
04.08.2015;-0.00224971878515179
05.08.2015;0.00311466952018802
06.08.2015;-0.00775297165498334
07.08.2015;-0.00287488721227125
10.08.2015;0.012808232694927
11.08.2015;-0.00955716716250499
12.08.2015;0.000950064057349431
13.08.2015;-0.00127513722106387
14.08.2015;0.00391189359649413
17.08.2015;0.00521147097354113
18.08.2015;-0.00262552082342415
19.08.2015;-0.0082549644240123
20.08.2015;-0.0211001101168008
21.08.2015;-0.0318509822029444
24.08.2015;-0.0394136659072805
25.08.2015;-0.0135220075955653
26.08.2015;0.0390338453959875
27.08.2015;0.024297736162143
28.08.2015;0.000608756024672141
31.08.2015;-0.00839169980943943
01.09.2015;-0.0295764078329565
02.09.2015;0.0182929696684693
03.09.2015;0.00116478351446503
04.09.2015;-0.015329578244402
08.09.2015;0.0250830201642707
